frase,10,50,75,100,150,200,300,400,500,600,750,1000,base
Quando foi a batalha de Gettysburg?,18969,18969,18969,18969,18969,18969,18969,18969,18969,18969,18969,18969,18969
Liste todos os musicais com músicas de Elton John.,10482,10482,10482,10482,10482,10482,10482,10482,10482,10482,10482,10482,10482
Qual a altura do Farol em Colombo?,26195,26195,26195,26195,26195,26195,26195,26195,26195,26195,26195,26195,26195
Quem foi a esposa do presidente americano Lincoln?,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517
Quem é o apresentador do BBC Wildlife Specials?,8943,8943,8943,8943,8943,8943,8943,8943,8943,8943,8943,8943,8943
Quanto custou Pulp Fiction?,949,949,949,949,949,949,949,949,949,949,949,949,949
Em que cidade fica a cervejaria Heineken?,24706,24706,24706,24706,24706,24706,24706,24706,24706,24706,24706,24706,24706
Quando começou a Operação Overlord?,14,14,14,14,14,14,14,14,14,14,14,14,14
Em que cidade termina a Rota 68 do Chile?,38009,38009,38009,38009,38009,38009,38009,38009,38009,38009,38009,38009,-1
Quem desenvolveu o Slack?,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619,2619
Quem foi casada com o presidente Chirac?,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188
De que morreu Bruce Carver?,365,365,365,365,365,365,365,365,365,365,365,365,365
Quem pintou Tormenta no Mar da Galileia?,124,124,124,124,124,124,124,124,124,124,124,124,124
Em quais cidades o rio Weser passa?,24598,24598,24598,24598,24598,24598,24598,24598,24598,24598,24598,24598,-1
Quantas cadeiras tem o estádio do Futebol Clube do Porto,15995,15995,15995,15995,15995,15995,15995,15995,15995,15995,15995,15995,-1
Com quem a filha de Robert Kennedy casou-se?,15913,15913,15913,15913,15913,15913,15913,15913,15913,15913,15913,15913,15913
Que livros de Kerouac foram publicados pela Viking Press?,22812,22812,22812,22812,22812,22812,22812,22812,22812,22812,22812,22812,22812
Qual a altura de Amazon Eve?,20341,20341,20341,20341,20341,20341,20341,20341,20341,20341,20341,20341,20341
Em que museu está exposto O Grito de Munch?,11096,11096,11096,11096,11096,11096,11096,11096,11096,11096,11096,11096,11096
Quem escreveu o livro Os Pilares da Terra?,10058,10058,10058,10058,10058,10058,10058,10058,10058,10058,10058,10058,10058
James Bond é casado?,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543,2543
Quem descobriu Ceres?,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Que rio a Ponte do Brooklyn cruza?,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267,11267
Quem foi chamado de Frank The Tank?,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
Qual é o maior país do mundo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Quem é o prefeito de Paris?,29788,29788,29788,29788,29788,29788,29788,29788,29788,29788,29788,29788,29788
Quem é o treinador da equipe de hockey no gelo de Ankara?,21799,21799,21799,21799,21799,21799,21799,21799,21799,21799,21799,21799,21799
Quem é o prefeito da capital da Polinésia Francessa?,20212,20212,20212,20212,20212,20212,20212,20212,20212,20212,20212,20212,20212
Que prêmios Douglas Hofstadter ganhou?,41,41,41,41,41,41,41,41,41,41,41,41,41
Quanto custou The Lego Movie?,938,938,938,938,938,938,938,938,938,938,938,938,938
Onde começa a Piccadilly?,225,225,225,225,225,225,225,225,225,225,225,225,225
O Príncipe Harry e o Príncipe William têm os mesmos pais?,30844,30844,30844,30844,30844,30844,30844,30844,30844,30844,30844,30844,30844
Quem interpretou o Agente Smith em Matrix?,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502,2502
Quantos idiomas são falados no Turquemenistão?,30402,30402,30402,30402,30402,30402,30402,30402,30402,30402,30402,30402,-1
Em que filmes Julia Roberts e Richard Gere atuaram?,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590
Em que país nasce o Ganges?,26799,26799,26799,26799,26799,26799,26799,26799,26799,26799,26799,26799,26799
Em que ano nasceu Rachel Stevens?,24261,24261,24261,24261,24261,24261,24261,24261,24261,24261,24261,24261,-1
Barack Obama é um Democrata?,6366,6366,6366,6366,6366,6366,6366,6366,6366,6366,6366,6366,6366
Onde nasceu Bach?,3861,3861,3861,3861,3861,3861,3861,3861,3861,3861,3861,3861,3861
Quantas vezes Jane Fonda se casou?,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251,1251
Quem foi o primeiro a escalar o Monte Everest?,121,121,121,121,121,121,121,121,121,121,121,121,121
Quantas pessoas vivem na Polônia,14480,14480,14480,14480,14480,14480,14480,14480,14480,14480,14480,14480,-1
Onde fica o Palácio de Westminster?,17,17,17,17,17,17,17,17,17,17,17,17,17
Christian Bale atua em Batman Begins?,493,493,493,493,493,493,493,493,493,493,493,493,493
