frase,10,50,75,100,150,200,300,400,500,600,750,1000,base
Quando foi a batalha de Gettysburg?,False,False,False,False,False,False,False,False,False,False,False,False,False
Liste todos os musicais com músicas de Elton John.,True,True,True,True,True,True,True,True,True,True,True,True,True
Qual a altura do Farol em Colombo?,False,False,True,True,False,False,False,False,False,False,False,False,False
Quem foi a esposa do presidente americano Lincoln?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem é o apresentador do BBC Wildlife Specials?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quanto custou Pulp Fiction?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que cidade fica a cervejaria Heineken?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quando começou a Operação Overlord?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que cidade termina a Rota 68 do Chile?,False,True,True,True,True,True,True,True,True,True,True,True,-1
Quem desenvolveu o Slack?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quem foi casada com o presidente Chirac?,False,False,False,False,False,False,False,False,False,False,False,False,False
De que morreu Bruce Carver?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem pintou Tormenta no Mar da Galileia?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em quais cidades o rio Weser passa?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Quantas cadeiras tem o estádio do Futebol Clube do Porto,True,True,True,True,True,True,True,True,True,True,True,True,-1
Com quem a filha de Robert Kennedy casou-se?,False,False,False,False,False,False,False,False,False,False,False,False,False
Que livros de Kerouac foram publicados pela Viking Press?,False,False,False,False,True,False,False,False,False,False,False,False,False
Qual a altura de Amazon Eve?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que museu está exposto O Grito de Munch?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quem escreveu o livro Os Pilares da Terra?,False,False,False,False,False,False,False,False,False,False,False,False,False
James Bond é casado?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem descobriu Ceres?,False,False,False,False,False,False,False,False,False,False,False,False,False
Que rio a Ponte do Brooklyn cruza?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem foi chamado de Frank The Tank?,False,False,False,False,False,False,False,False,False,False,False,False,False
Qual é o maior país do mundo,False,False,False,False,False,False,False,False,False,False,False,False,False
Quem é o prefeito de Paris?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quem é o treinador da equipe de hockey no gelo de Ankara?,False,False,False,False,False,False,False,False,True,False,False,False,False
Quem é o prefeito da capital da Polinésia Francessa?,False,False,False,False,False,False,False,False,False,False,False,False,False
Que prêmios Douglas Hofstadter ganhou?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quanto custou The Lego Movie?,False,False,False,False,False,False,False,False,False,False,False,False,False
Onde começa a Piccadilly?,False,False,False,False,False,False,False,False,False,False,False,False,False
O Príncipe Harry e o Príncipe William têm os mesmos pais?,False,True,True,True,True,True,True,True,True,True,True,True,True
Quem interpretou o Agente Smith em Matrix?,True,True,True,True,True,True,False,False,False,False,False,False,False
Quantos idiomas são falados no Turquemenistão?,False,False,False,False,False,False,False,False,False,False,False,False,-1
Em que filmes Julia Roberts e Richard Gere atuaram?,False,False,True,True,False,False,False,False,False,False,False,False,False
Em que país nasce o Ganges?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que ano nasceu Rachel Stevens?,False,False,False,False,False,False,False,True,False,False,False,False,-1
Barack Obama é um Democrata?,False,False,False,False,False,False,False,False,False,False,False,False,False
Onde nasceu Bach?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantas vezes Jane Fonda se casou?,True,True,True,True,True,True,True,True,True,True,True,True,True
Quem foi o primeiro a escalar o Monte Everest?,False,False,False,False,False,False,False,False,False,False,False,False,False
Quantas pessoas vivem na Polônia,False,False,False,False,False,False,False,False,False,False,False,False,-1
Onde fica o Palácio de Westminster?,False,False,False,False,False,False,False,False,False,False,False,False,False
Christian Bale atua em Batman Begins?,False,False,False,False,False,False,False,False,False,False,False,False,False
Em que país fica o Lago Limerick?,False,False,False,False,False,False,False,False,False,False,False,False,False
