
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 14.330 [*9_(filme) | *producao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.830 0.500 1.000]
1 14.330 [*9_(filme) | producer | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.830 0.500 1.000]
2 14.330 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *9_(filme) | *producao | *tim_burton] - [12.830 0.500 1.000]
3 14.330 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *9_(filme) | producer | *tim_burton] - [12.830 0.500 1.000]
4 14.017 [*ed_wood_(filme) | direcao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.517 0.500 1.000]
5 14.017 [*vincent_(filme) | direcao | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.517 0.500 1.000]
6 14.017 [*vincent_(filme) | director | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.517 0.500 1.000]
7 14.017 [*ed_wood_(filme) | director | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.517 0.500 1.000]
8 14.017 [*ed_wood_(filme) | producer | *tim_burton | *tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee.] - [12.517 0.500 1.000]
9 14.017 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *ed_wood_(filme) | direcao | *tim_burton] - [12.517 0.500 1.000]
10 14.017 [*tim_burton | abstract | *timothy \"tim\" willian burton (burbank, 25 de agosto de 1958) e um cineasta norte-americano. frequentemente, seus filmes acompanham os atores johnny depp e helena bonham carter, com quem mantinha um relacionamento serio desde 2001 ate 2014 e tem dois filhos, e danny elfman compondo a trilha sonora. amante dos grandes nomes dos filmes de terror, ja realizou projetos sobre ed wood e chamou para estrelar seus trabalhos, os notorios atores vincent price e christopher lee. | *vincent_(filme) | direcao | *tim_burton] - [12.517 0.500 1.000]
